text,likesCount,is_spam,text_clean,text_normalized,text_final,text_length,text_word_count,clean_text_length,clean_text_word_count
"Bener bang, bensin itu hal yg sangat fundamental bagi negara kita (sangat berpegaruh untuk roda perekonomian, industri dan transportasi nasional) jadi kalau naik,  sangat benar alokasi fiskal pasti bengkak untuk menutupi subsidi dan kompensasi energi. Untuk kondisi spt ini memang baiknya pemerintah pusat @prabowo @sekertariat_presiden @gerindra mengkaji ulang program nasional. Spt MBG mungkin banyak hal bisa dikaji, keadilan bukan berarti sama rata pak (tapi adanya  kemerataan). Kalau memang bapak presiden ga mau memberhentikan MBG, mungkin kedepannya program ini dilaksanakan cukup di daerah 3T , daerah yg angka stunting tinggi atau daerah Miskin (kan bisa kerjasama dengan @bps_statistics  untuk data Gk,P1,P2. Lalu untuk koperasi merah putih, kami warga awam memang tidak tahu apa dampak strategis program itu, tapi bukannya dampak itu harusnya bisa dirasakan masyarakat luas? Sejauh ini belum ada dampaknya untuk masyarakat kalangan Bawah pak, jadi apa guna programnya? Baiknya di hentikan. @kemenkeuri juga udah bisa lebih berbenah, gaji pegawai kalian tinggi loh dibandingkan pemda dan Kementrian lain, harusnya lebih kreatif dan kompeten dalam masalah pemungutan pajak Pph badan dan pajak perorangan (ini juga salah satu faktor krusial dalam menyehatkan Apbn.",2,False,"bener bang, bensin fundamental negara (sangat berpegaruh roda perekonomian, industri transportasi nasional) naik, alokasi fiskal bengkak menutupi subsidi kompensasi energi. kondisi baiknya pemerintah pusat mengkaji ulang program nasional. makan bergizi gratis dikaji, keadilan (tapi kemerataan). presiden memberhentikan mbg, kedepannya program dilaksanakan daerah t , daerah angka stunting daerah miskin (kan kerjasama data gk,p ,p . koperasi merah putih, warga awam dampak strategis program itu, dampak dirasakan masyarakat luas? dampaknya masyarakat kalangan pak, programnya? baiknya hentikan. udah berbenah, gaji pegawai loh dibandingkan pemda kementrian lain, kreatif kompeten pemungutan pajak pph badan pajak perorangan (ini salah faktor krusial menyehatkan apbn.","bener bang, bensin itu hal yg sangat fundamental bagi negara kita (sangat berpegaruh untuk roda perekonomian, industri dan transportasi nasional) jadi kalau naik, sangat benar alokasi fiskal pasti bengkak untuk menutupi subsidi dan kompensasi energi. untuk kondisi seperti ini memang baiknya pemerintah pusat mengkaji ulang program nasional. seperti makan bergizi gratis mungkin banyak hal bisa dikaji, keadilan bukan berarti sama rata pak (tapi adanya kemerataan). kalau memang bapak presiden tidak mau memberhentikan mbg, mungkin kedepannya program ini dilaksanakan cukup di daerah t , daerah yg angka stunting tinggi atau daerah miskin (kan bisa kerjasama dengan untuk data gk,p ,p . lalu untuk koperasi merah putih, kami warga awam memang tidak tahu apa dampak strategis program itu, tapi bukannya dampak itu harusnya bisa dirasakan masyarakat luas? sejauh ini belum ada dampaknya untuk masyarakat kalangan bawah pak, jadi apa guna programnya? baiknya di hentikan. juga udah bisa lebih berbenah, gaji pegawai kalian tinggi loh dibandingkan pemda dan kementrian lain, harusnya lebih kreatif dan kompeten dalam masalah pemungutan pajak pph badan dan pajak perorangan (ini juga salah satu faktor krusial dalam menyehatkan apbn.","bener bang, bensin fundamental negara (sangat berpegaruh roda perekonomian, industri transportasi nasional) naik, alokasi fiskal bengkak menutupi subsidi kompensasi energi. kondisi baiknya pemerintah pusat mengkaji ulang program nasional. makan bergizi gratis dikaji, keadilan (tapi kemerataan). presiden memberhentikan mbg, kedepannya program dilaksanakan daerah t , daerah angka stunting daerah miskin (kan kerjasama data gk,p ,p . koperasi merah putih, warga awam dampak strategis program itu, dampak dirasakan masyarakat luas? dampaknya masyarakat kalangan pak, programnya? baiknya hentikan. udah berbenah, gaji pegawai loh dibandingkan pemda kementrian lain, kreatif kompeten pemungutan pajak pph badan pajak perorangan (ini salah faktor krusial menyehatkan apbn.",1273,181,768,98
Yg kontra mbg berarti gak bersyukur 🙏,0,False,kontra makan bergizi gratis bersyukur,yg kontra makan bergizi gratis berarti tidak bersyukur,kontra makan bergizi gratis bersyukur,37,7,37,5
"nah pmrnth blg,jgn kritik aja tp ga ngasi solusi.ini udh dikasi.kalo masih degil aja,berarti emg omon2 tone deaf sih @prabowo @gerindra",10,False,"pmrnth blg,jgn kritik aja ngasi solusi.ini udh dikasi.kalo degil aja,berarti emg omon tone deaf sih","nah pmrnth blg,jgn kritik aja tapi tidak ngasi solusi.ini udh dikasi.kalo masih degil aja,berarti emg omon tone deaf sih","pmrnth blg,jgn kritik aja ngasi solusi.ini udh dikasi.kalo degil aja,berarti emg omon tone deaf sih",135,21,99,15
"Salah semua solusimu Ferry. Kalau defisit menyentuh angka 3% sesuai UU dan harus segera diturunkan dan misalnya harus dengan mengorbankan MBG. Maka, angka 3% nya ganti ke 4-5%, ini solusi mudah dan cepat. Jadi masih ada di bawah batas standar, aman-aman aja. Daripada solusimu ribet dan memusingkan, lebih baik jalur cepat saja. Hidup Prabowo!",6,False,"salah solusimu ferry. defisit menyentuh angka % sesuai uu diturunkan mengorbankan mbg. maka, angka % nya ganti - %, solusi mudah cepat. batas standar, aman-aman aja. solusimu ribet memusingkan, jalur cepat saja. hidup prabowo!","salah semua solusimu ferry. kalau defisit menyentuh angka % sesuai uu dan harus segera diturunkan dan misalnya harus dengan mengorbankan mbg. maka, angka % nya ganti ke - %, ini solusi mudah dan cepat. jadi masih ada di bawah batas standar, aman-aman aja. daripada solusimu ribet dan memusingkan, lebih baik jalur cepat saja. hidup prabowo!","salah solusimu ferry. defisit menyentuh angka % sesuai uu diturunkan mengorbankan mbg. maka, angka % nya ganti - %, solusi mudah cepat. batas standar, aman-aman aja. solusimu ribet memusingkan, jalur cepat saja. hidup prabowo!",343,54,226,34
@irhs_c mudeng ora?,0,False,mudeng ora?,mudeng ora?,mudeng ora?,19,3,11,2
Bismillah MBG ilang,0,False,bismillah makan bergizi gratis ilang,bismillah makan bergizi gratis ilang,bismillah makan bergizi gratis ilang,19,3,36,5
"Kalau ada yg bilang ini ujaran kebencian , perlu di pertanyakan sih keberadaan otak nya .",2,False,"bilang ujaran kebencian , sih keberadaan otak nya .","kalau ada yg bilang ini ujaran kebencian , perlu di pertanyakan sih keberadaan otak nya .","bilang ujaran kebencian , sih keberadaan otak nya .",89,16,51,9
"Gapapa, kita nanti ngisi kendaraan pake MBG. Supaya kendaraan kita bergizi😂",2,False,"gapapa, ngisi kendaraan pake mbg. kendaraan bergizi","gapapa, kita nanti ngisi kendaraan pake mbg. supaya kendaraan kita bergizi","gapapa, ngisi kendaraan pake mbg. kendaraan bergizi",75,11,51,7
"sehat"" gen z. cari jalan kedepannya makin ribet perihal government gajelas:')",2,False,"sehat"" gen z. cari jalan kedepannya ribet perihal government gajelas:')","sehat"" gen z. cari jalan kedepannya makin ribet perihal government gajelas:')","sehat"" gen z. cari jalan kedepannya ribet perihal government gajelas:')",77,11,71,10
"Org pejabatnya kebanyakan inkompetensi gimana bisa mengatasi problematika di negara ini, sampe ada yang dengan pedenya tau urusan HAM sampe bilang banyak sertifikasi.. Emg sertifikasi bisa jadi jaminan? Hahaha ijazah aja bisa dipalsukan apalagi sertifikasi..",3,False,"org pejabatnya kebanyakan inkompetensi gimana mengatasi problematika negara ini, sampe pedenya tau urusan ham sampe bilang sertifikasi.. emg sertifikasi jaminan? hahaha ijazah aja dipalsukan sertifikasi..","org pejabatnya kebanyakan inkompetensi gimana bisa mengatasi problematika di negara ini, sampe ada yang dengan pedenya tau urusan ham sampe bilang banyak sertifikasi.. emg sertifikasi bisa jadi jaminan? hahaha ijazah aja bisa dipalsukan apalagi sertifikasi..","org pejabatnya kebanyakan inkompetensi gimana mengatasi problematika negara ini, sampe pedenya tau urusan ham sampe bilang sertifikasi.. emg sertifikasi jaminan? hahaha ijazah aja dipalsukan sertifikasi..",258,35,204,25
Kira² pengambil kebijakan paham ga analisis seperti ini?,3,False,kira² pengambil kebijakan paham analisis ini?,kira² pengambil kebijakan paham tidak analisis seperti ini?,kira² pengambil kebijakan paham analisis ini?,56,8,45,6
"Alah mah da, yang peduli jo kejadian ko ndak ado yang punyo kewenangan. Yang punyo kewenangan malah ndak peduli samo sekali. Panek-panek da peri se ko nyo.",1,False,"alah mah da, peduli jo kejadian ndak ado punyo kewenangan. punyo kewenangan ndak peduli samo sekali. panek-panek da peri nyo.","alah mah da, yang peduli jo kejadian kok ndak ado yang punyo kewenangan. yang punyo kewenangan malah ndak peduli samo sekali. panek-panek da peri se kok nyo.","alah mah da, peduli jo kejadian ndak ado punyo kewenangan. punyo kewenangan ndak peduli samo sekali. panek-panek da peri nyo.",155,27,125,20
@irwandiferry punya kepala negara yang gak ngerti ekonomi susah ya bang 😭,1,False,kepala negara ngerti ekonomi susah bang,punya kepala negara yang tidak ngerti ekonomi susah iya bang,kepala negara ngerti ekonomi susah bang,73,12,39,6
Menghargai kompleksitas adalah langkah pertama untuk tidak jadi sok tahu.,1,False,menghargai kompleksitas langkah sok tahu.,menghargai kompleksitas adalah langkah pertama untuk tidak jadi sok tahu.,menghargai kompleksitas langkah sok tahu.,73,10,41,5
Apakah Lansia itu punya Daya berpikir kayak Ferry Irwandi? 🙏🏻,3,False,lansia daya berpikir kayak ferry irwandi?,apakah lansia itu punya daya berpikir kayak ferry irwandi?,lansia daya berpikir kayak ferry irwandi?,61,10,41,6
Ora urus yang penting mbg jalan terus 👏,2,False,ora urus makan bergizi gratis jalan,ora urus yang penting makan bergizi gratis jalan terus,ora urus makan bergizi gratis jalan,39,8,35,6
Lagu Ghiblinya santuy banget bang 🤣 🙌,19,False,lagu ghiblinya santuy bang 🤣,lagu ghiblinya santuy banget bang 🤣,lagu ghiblinya santuy bang 🤣,37,7,28,5
Mohon izin pak bapak yang kami hormati 🙏🏼🙏🏼 @prabowo @menkeuri @anggarakaprabowo @dpr_ri @sekretariat.kabinet @kemenkeuri @presidenrepublikindonesia @teddy_hq,45,False,mohon izin hormati .kabinet,mohon izin pak bapak yang kami hormati .kabinet,mohon izin hormati .kabinet,158,16,27,4
Stop MBG Stop KopDes Stop Sekolah Rakyat Stop Gentengisasi,1,False,stop makan bergizi gratis stop kopdes stop sekolah rakyat stop gentengisasi,stop makan bergizi gratis stop kopdes stop sekolah rakyat stop gentengisasi,stop makan bergizi gratis stop kopdes stop sekolah rakyat stop gentengisasi,58,9,75,11
"YYAH GIMANA LEBARAN MBG TETAP JALAN , apa ga curiga lu pada ama kepala BGN tu🗿",43,False,"yyah gimana lebaran makan bergizi gratis jalan , curiga lu ama kepala bgn tu","yyah gimana lebaran makan bergizi gratis tetap jalan , apa tidak curiga lu pada ama kepala bgn tu","yyah gimana lebaran makan bergizi gratis jalan , curiga lu ama kepala bgn tu",78,16,76,14
"Kayanya lu lebih pinter dari pemerintah deh bang, eh tapi pemerintah ""mungkin aja"" lebih pinter dari Ferry juga si, tapi apakah akan ""lebih peduli?"" 🤔 😅",4,False,"kayanya lu pinter pemerintah deh bang, eh pemerintah ""mungkin aja"" pinter ferry si, ""lebih peduli?"" 🤔","kayanya lu lebih pinter dari pemerintah deh bang, eh tapi pemerintah ""mungkin aja"" lebih pinter dari ferry juga si, tapi apakah akan ""lebih peduli?"" 🤔","kayanya lu pinter pemerintah deh bang, eh pemerintah ""mungkin aja"" pinter ferry si, ""lebih peduli?"" 🤔",152,26,101,16
"Sebenarnya dalam banyak hal, masyarakat kita bisa mandiri. Energi: ada kayu bakar, dulu ada minyak tanah , arang dll. Bisa juga switch ke kompor listrik.  Untuk listrik pun banyak yg inisiatif pake solar panel. Pun dalam hal konsumsi makanan, banyak pangan lokal dan sebenernya kita makan melebihi kebutuhan. Setuju kalau pemerintah memberikan pembatasan subsidi dan penghematan.",1,False,"hal, masyarakat mandiri. energi: kayu bakar, minyak tanah , arang dll. switch kompor listrik. listrik inisiatif pake solar panel. konsumsi makanan, pangan lokal sebenernya makan melebihi kebutuhan. setuju pemerintah pembatasan subsidi penghematan.","sebenarnya dalam banyak hal, masyarakat kita bisa mandiri. energi: ada kayu bakar, dulu ada minyak tanah , arang dll. bisa juga switch ke kompor listrik. untuk listrik pun banyak yg inisiatif pake solar panel. pun dalam hal konsumsi makanan, banyak pangan lokal dan sebenernya kita makan melebihi kebutuhan. setuju kalau pemerintah memberikan pembatasan subsidi dan penghematan.","hal, masyarakat mandiri. energi: kayu bakar, minyak tanah , arang dll. switch kompor listrik. listrik inisiatif pake solar panel. konsumsi makanan, pangan lokal sebenernya makan melebihi kebutuhan. setuju pemerintah pembatasan subsidi penghematan.",379,56,247,32
gmna bray mo jdi bandar minyak g ? @hapizilhamm,0,False,gmna bray mo jdi bandar minyak g ?,gmna bray mo jdi bandar minyak g ?,gmna bray mo jdi bandar minyak g ?,47,9,34,8
"Semoga pak seskab, menkeu, men esdm baca dan terima masukan",66,False,"semoga seskab, menkeu, men esdm baca terima masukan","semoga pak seskab, menkeu, men esdm baca dan terima masukan","semoga seskab, menkeu, men esdm baca terima masukan",59,10,51,8
"Tolong dibaca, dipahami, diresapi.  @prabowo @prabowo.gibran2 @purbayayudhi.official @bahlillahadalia",0,False,"tolong dibaca, dipahami, diresapi. .gibran .official","tolong dibaca, dipahami, diresapi. .gibran .official","tolong dibaca, dipahami, diresapi. .gibran .official",101,8,52,6
"Tp pemerintah ttp milih gas MBG, beli mobil koperasi merah putih dan belanja lain yg ga jelas tujuannya
Uda ditahap mmng mikir pemerintah mau negara ini bubar🙏",1,False,"pemerintah ttp milih gas mbg, beli mobil koperasi merah putih belanja tujuannya uda ditahap mmng mikir pemerintah negara bubar","tapi pemerintah ttp milih gas mbg, beli mobil koperasi merah putih dan belanja lain yg tidak jelas tujuannya uda ditahap mmng mikir pemerintah mau negara ini bubar","pemerintah ttp milih gas mbg, beli mobil koperasi merah putih belanja tujuannya uda ditahap mmng mikir pemerintah negara bubar",159,27,126,19
Gak bisa stop dulu ya MBG?,0,False,stop mbg?,tidak bisa stop dulu iya mbg?,stop mbg?,26,6,9,2
"Pejabat konoha mana mau dikasih masukan kaya gini? Mereka cuma peduli sama perut sendiri. Bahkan mereka anggap klo nerima masukan dari rakyat artinya adalah kelemahan bagi mereka. Mereka enggak mau dapet masukan sekalipun dari rakyat yg bijak. 

Pengalaman soalnya. pemerintah isinya kebanyakannya ordal semua yg gatau keahliannya apa.",1,False,pejabat konoha dikasih masukan kaya gini? peduli perut sendiri. anggap nerima masukan rakyat kelemahan mereka. dapet masukan rakyat bijak. pengalaman soalnya. pemerintah isinya kebanyakannya ordal gatau keahliannya apa.,pejabat konoha mana mau dikasih masukan kaya gini? mereka cuma peduli sama perut sendiri. bahkan mereka anggap klo nerima masukan dari rakyat artinya adalah kelemahan bagi mereka. mereka enggak mau dapet masukan sekalipun dari rakyat yg bijak. pengalaman soalnya. pemerintah isinya kebanyakannya ordal semua yg gatau keahliannya apa.,pejabat konoha dikasih masukan kaya gini? peduli perut sendiri. anggap nerima masukan rakyat kelemahan mereka. dapet masukan rakyat bijak. pengalaman soalnya. pemerintah isinya kebanyakannya ordal gatau keahliannya apa.,335,48,219,28
"👍 nah kritik dengan pandang dan ynag membangun serta problem solving seperti ini yg sekarang dibutuhkan dan sudah langka di Indonesia, dan semoga jd budaya. Bukan kritik dengan narasi dan diksi menjatuhkan atau kebencian yg tidak rasional. Bagaimanapun pemerintah tetap membutuhkan masyarakatnya untuk memberikan kritik, saran, dan pendapat untuk saling mencari solusi, bukan pembenaran untuk saling membenci. Sehat slalu bang @irwandiferry semoga dengan besar hati, dan mempertimbangkan sgala hal pak @prabowo dan team nya mengambil kebijakan yg terbaik dari masukkan2 yang ada.",0,False,"kritik pandang ynag membangun problem solving dibutuhkan langka indonesia, semoga jd budaya. kritik narasi diksi menjatuhkan kebencian rasional. pemerintah membutuhkan masyarakatnya kritik, saran, pendapat mencari solusi, pembenaran membenci. sehat slalu bang semoga hati, mempertimbangkan sgala team nya mengambil kebijakan terbaik masukkan ada.","nah kritik dengan pandang dan ynag membangun serta problem solving seperti ini yg sekarang dibutuhkan dan sudah langka di indonesia, dan semoga jd budaya. bukan kritik dengan narasi dan diksi menjatuhkan atau kebencian yg tidak rasional. bagaimanapun pemerintah tetap membutuhkan masyarakatnya untuk memberikan kritik, saran, dan pendapat untuk saling mencari solusi, bukan pembenaran untuk saling membenci. sehat slalu bang semoga dengan besar hati, dan mempertimbangkan sgala hal pak dan team nya mengambil kebijakan yg terbaik dari masukkan yang ada.","kritik pandang ynag membangun problem solving dibutuhkan langka indonesia, semoga jd budaya. kritik narasi diksi menjatuhkan kebencian rasional. pemerintah membutuhkan masyarakatnya kritik, saran, pendapat mencari solusi, pembenaran membenci. sehat slalu bang semoga hati, mempertimbangkan sgala team nya mengambil kebijakan terbaik masukkan ada.",579,82,346,42
"Jadi gini gaes, Shadam Hussein pernah bilang, lu kalau mau jadi negara superpower, kuasain minyak. Dan inilah yg dilakuin Trump bersama sohibnya si Netanyahu. Pertama, mereka kuasain Venezuela buat ambil pasokan minyaknya. Kedua, mereka panas panasin mau caplok Greenland buat nakutin Eropa, karena beberapa negara Eropa udah mulai ngelawan narasi Pro Zionis. Ketiga, mereka nargetin Iran, yg emang sejak lama jadi musuh bebuyutan (AS dan Israel) dan jadi pemasok minyak di Timur Tengah selain negara Arab. Keempat, agenda mereka mau bikin kelangkaan minyak dunia dgn penutupan selat Hormuz oleh Iran (yg tentu udah mereka prediksi), lalu bikin psyop ngeledakin kilang minyak Qatar dan Saudi seolah itu ulah Iran padahal kagak. Kelima, mereka serang kilang minyak Iran biar makin langka dah pasokan minyak, utamanya buat nekan Cina yg bergantung banget ke impor energi buat industri mereka. Ujungnya, banyak negara bakal lari ke pasokan minyak Amerika meski jauh dan mahal. No choice here. Indonesia jg udah bilang kan mau impor ke US. Inilah bisnis perang Trump dan Netanyahu itu.",7207,False,"gaes, shadam hussein bilang, lu negara superpower, kuasain minyak. dilakuin trump sohibnya si netanyahu. pertama, kuasain venezuela ambil pasokan minyaknya. kedua, panas panasin caplok greenland nakutin eropa, negara eropa udah ngelawan narasi pro zionis. ketiga, nargetin iran, emang musuh bebuyutan (as israel) pemasok minyak timur negara arab. keempat, agenda bikin kelangkaan minyak dunia penutupan selat hormuz iran (yg udah prediksi), bikin psyop ngeledakin kilang minyak qatar saudi ulah iran kagak. kelima, serang kilang minyak iran biar langka dah pasokan minyak, utamanya nekan cina bergantung impor energi industri mereka. ujungnya, negara lari pasokan minyak amerika mahal. no choice here. indonesia udah bilang impor us. bisnis perang trump netanyahu itu.","jadi begini gaes, shadam hussein pernah bilang, lu kalau mau jadi negara superpower, kuasain minyak. dan inilah yg dilakuin trump bersama sohibnya si netanyahu. pertama, mereka kuasain venezuela buat ambil pasokan minyaknya. kedua, mereka panas panasin mau caplok greenland buat nakutin eropa, karena beberapa negara eropa udah mulai ngelawan narasi pro zionis. ketiga, mereka nargetin iran, yg emang sejak lama jadi musuh bebuyutan (as dan israel) dan jadi pemasok minyak di timur tengah selain negara arab. keempat, agenda mereka mau bikin kelangkaan minyak dunia dengan penutupan selat hormuz oleh iran (yg tentu udah mereka prediksi), lalu bikin psyop ngeledakin kilang minyak qatar dan saudi seolah itu ulah iran padahal kagak. kelima, mereka serang kilang minyak iran biar makin langka dah pasokan minyak, utamanya buat nekan cina yg bergantung banget ke impor energi buat industri mereka. ujungnya, banyak negara bakal lari ke pasokan minyak amerika meski jauh dan mahal. no choice here. indonesia juga udah bilang kan mau impor ke us. inilah bisnis perang trump dan netanyahu itu.","gaes, shadam hussein bilang, lu negara superpower, kuasain minyak. dilakuin trump sohibnya si netanyahu. pertama, kuasain venezuela ambil pasokan minyaknya. kedua, panas panasin caplok greenland nakutin eropa, negara eropa udah ngelawan narasi pro zionis. ketiga, nargetin iran, emang musuh bebuyutan (as israel) pemasok minyak timur negara arab. keempat, agenda bikin kelangkaan minyak dunia penutupan selat hormuz iran (yg udah prediksi), bikin psyop ngeledakin kilang minyak qatar saudi ulah iran kagak. kelima, serang kilang minyak iran biar langka dah pasokan minyak, utamanya nekan cina bergantung impor energi industri mereka. ujungnya, negara lari pasokan minyak amerika mahal. no choice here. indonesia udah bilang impor us. bisnis perang trump netanyahu itu.",1081,167,768,108
"Tenang:
”Lelaki yang sangat saya suka, benar-benar tangguh, saya tidak mau melawannya, Presiden Prabowo Subianto dari Indonesia,”
— Donald Trump, Kamis (19/2/2026)",1319,False,"tenang: ”lelaki suka, benar-benar tangguh, melawannya, presiden prabowo subianto indonesia,” — donald trump, kamis ( / / )","tenang: ”lelaki yang sangat saya suka, benar-benar tangguh, saya tidak mau melawannya, presiden prabowo subianto dari indonesia,” — donald trump, kamis ( / / )","tenang: ”lelaki suka, benar-benar tangguh, melawannya, presiden prabowo subianto indonesia,” — donald trump, kamis ( / / )",163,22,122,18
